"Date/Time","Lat","Lon"
"2019-12-24 23:45:25",34.48782,-118.00695
"2019-12-24 23:45:24",32.69701,-116.56901
"2019-12-24 23:45:21",33.95559,-117.44721
"2019-12-24 23:45:18",32.75107,-117.0808
"2019-12-24 23:45:08",34.08057,-118.36819
"2019-12-24 23:44:25",34.18236,-118.39131
"2019-12-24 23:44:25",34.07931,-118.38335
"2019-12-24 23:44:25",38.91269,-121.12561
"2019-12-24 23:44:24",33.59889,-112.10466
"2019-12-24 23:44:24",34.08867,-117.64618
"2019-12-24 23:44:24",38.94621,-76.90567
"2019-12-24 23:44:24",36.78907,-119.8377
"2019-12-24 23:44:24",32.74223,-117.06251
"2019-12-24 23:44:24",34.47656,-117.9879
"2019-12-24 23:44:24",32.71217,-116.59331
"2019-12-24 23:44:24",36.10117,-115.06125
"2019-12-24 23:44:15",33.95448,-117.44598
"2019-12-24 23:43:41",34.1827,-118.4063
"2019-12-24 23:43:41",34.47133,-117.99717
"2019-12-24 23:43:41",36.79228,-119.86242
"2019-12-24 23:43:41",33.59233,-112.1089
"2019-12-24 23:43:41",38.89183,-121.14779
"2019-12-24 23:43:41",34.08055,-117.62479
"2019-12-24 23:43:41",33.95902,-117.44155
"2019-12-24 23:43:41",34.07405,-118.39809
"2019-12-24 23:43:41",36.09795,-115.05812
"2019-12-24 23:43:39",32.72676,-116.60844
"2019-12-24 23:43:39",38.93592,-76.91113
"2019-12-24 23:43:37",32.73782,-117.08029
"2019-12-24 23:42:36",34.06068,-117.60102
"2019-12-24 23:42:36",38.86116,-121.18021
"2019-12-24 23:42:36",34.16826,-118.41462
"2019-12-24 23:42:36",34.47063,-117.99934
"2019-12-24 23:42:36",36.09815,-115.05878
"2019-12-24 23:42:35",34.06293,-118.41788
"2019-12-24 23:42:35",36.79312,-119.87317
"2019-12-24 23:42:35",33.57427,-112.11895
"2019-12-24 23:42:35",32.74617,-117.11525
"2019-12-24 23:42:34",38.94625,-76.88684
"2019-12-24 23:42:33",32.7399,-116.63536
"2019-12-24 23:42:30",33.97969,-117.46256
"2019-12-24 23:41:48",33.56612,-112.13885
"2019-12-24 23:41:48",38.8401,-121.20338
"2019-12-24 23:41:48",32.75349,-117.14722
"2019-12-24 23:41:47",36.09605,-115.05999
"2019-12-24 23:41:47",34.05258,-118.43071
"2019-12-24 23:41:47",34.04165,-117.59296
"2019-12-24 23:41:47",32.75434,-116.64471
"2019-12-24 23:41:47",36.79463,-119.87343
"2019-12-24 23:41:47",34.48222,-118.00255
"2019-12-24 23:41:47",33.9885,-117.45416
"2019-12-24 23:41:46",38.95086,-76.90082
"2019-12-24 23:41:29",34.15049,-118.40452
"2019-12-24 23:40:44",36.09691,-115.05867
"2019-12-24 23:40:44",34.4892,-118.01166
"2019-12-24 23:40:44",34.00068,-117.4403
"2019-12-24 23:40:44",33.5481,-112.16309
"2019-12-24 23:40:44",36.79866,-119.88059
